"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f0","f1","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f2","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f3","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f4","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f5","f50","f6","f7","f8","f9","m0","m1","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m2","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m3","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m4","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m5","m50","m6","m7","m8","m9"
1986,"7",1,0,2,0,-1,-1,3.966,0,81.3686,0,0,0,0,0,0,0,0,0,0,1169.701,0,0,0,0,0,0,0,0,0,0,769.9447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,"7",1,0,2,0,-1,-1,16.488,0,0,1816.5838,526.9467,1951.4605,2724.8756,0,431.1119,1957.504,1052.0069,977.9418,883.9935,1608.8111,908.2919,1360.9073,1265.3387,908.2919,452.6154,0,0,0,0,0,817.5656,908.2919,0,0,0,0,0,0,0,0,0,3542.4412,908.2919,0,908.2919,0,0,0,0,0,0,0,908.2919,0,6124.5005,4260.3475,2343.5305,5570.8288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,"7",1,0,2,0,-1,-1,3.07,0,0,0,2633.6004,0,0,0,817.0166,817.0166,1634.0333,908.2919,817.0166,0,817.0166,0,0,0,0,0,0,0,0,1816.5838,0,817.0166,0,0,908.2919,0,0,908.2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"7",1,0,2,0,-1,-1,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,"7",1,0,2,0,-1,-1,18.662,0,639.0721,217.5758,0,0,0,0,0,0,0,0,0,11306.8156,0,0,0,318.4176,0,0,0,0,0,0,10607.609,0,0,0,0,0,0,0,0,0,0,2464.6284,0,0,0,0,0,0,0,0,0,0,1948.4719,0,854.4111,535.9935,0,870.3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"7",1,0,2,0,-1,-1,19.904,0,1138.77,0,139.1521,0,0,0,0,0,0,0,0,8581.7321,0,0,0,0,92.6325,0,0,0,0,0,5869.8887,0,0,139.1521,0,0,0,0,0,0,0,952.2945,0,0,0,0,0,0,0,0,0,0,308.6581,0,451.9335,417.4563,278.3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"7",1,0,2,0,-1,-1,5.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5449.7513,0,0,0,0,0,0,0,0,0,0,3633.1675,0,0,0,0,0,0,0,0,0,0,1140.9372,0,908.2919,908.2919,0,1816.5838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"7",1,0,2,0,-1,-1,4.38,0,0,0,321.6646,0,1008.6833,0,0,0,0,0,0,0,0,0,0,0,0,908.2919,687.0187,0,0,0,0,0,0,0,321.6646,687.0187,0,0,0,0,0,908.2919,0,0,0,0,0,0,0,0,0,0,0,0,908.2919,0,321.6646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",1,0,2,0,-1,-1,7.278,0,0,629.5673,1484.8828,0,1259.1346,629.5673,1259.1346,0,629.5673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915.2421,0,0,0,0,0,0,0,0,0,0,2079.9416,0,582.3498,4076.4483,1211.9171,3006.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"7",1,0,2,0,-1,-1,6.38,0,0,0,0,0,0,0,0,0,0,0,0,229.6143,0,0,0,0,0,0,0,0,0,0,138.2178,0,0,0,0,0,0,0,0,0,0,338.8415,0,0,0,0,0,0,0,0,0,0,256.7742,200.6237,401.2474,0,288.8832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
